t_s,state,copter_n,copter_e,copter_d,rover_n,rover_e,in_fov,occluded,bbox_cx,bbox_cy,px_err,vx_cmd,vy_cmd,loop_ms,dist_n,dist_e,d_true_px,d_dist_px,carry_score
0.0,ACQUIRE,0.01,-0.01,-8.81,0.51,-0.01,1,0,,,,0.0,0.0,4.7,,,,,
0.05,ACQUIRE,0.01,-0.01,-8.92,0.54,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.1,ACQUIRE,0.01,-0.01,-8.92,0.56,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.15,ACQUIRE,0.01,-0.01,-9.03,0.59,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.2,ACQUIRE,0.01,-0.01,-9.03,0.61,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.25,ACQUIRE,0.01,-0.01,-9.13,0.64,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.3,ACQUIRE,0.01,-0.01,-9.13,0.66,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.35,ACQUIRE,0.01,-0.01,-9.22,0.69,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
0.4,ACQUIRE,0.01,-0.01,-9.22,0.71,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
0.45,ACQUIRE,0.01,-0.01,-9.3,0.74,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
0.5,ACQUIRE,0.01,-0.01,-9.3,0.76,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.55,ACQUIRE,0.01,-0.01,-9.38,0.79,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.6,ACQUIRE,0.01,-0.01,-9.38,0.82,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.65,ACQUIRE,0.01,-0.01,-9.44,0.84,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.7,ACQUIRE,0.01,-0.01,-9.44,0.87,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.75,ACQUIRE,0.01,-0.01,-9.49,0.89,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.8,ACQUIRE,0.01,-0.01,-9.49,0.92,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.85,ACQUIRE,0.01,-0.01,-9.53,0.94,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
0.9,ACQUIRE,0.01,-0.01,-9.53,0.97,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
0.95,ACQUIRE,0.01,-0.01,-9.56,0.99,-0.01,1,0,,,,0.0,0.0,1.2,,,,,
1.0,ACQUIRE,0.01,-0.01,-9.56,1.02,-0.01,1,0,,,,0.0,0.0,0.7,,,,,
1.05,ACQUIRE,0.01,-0.01,-9.58,1.04,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
1.1,ACQUIRE,0.01,-0.01,-9.58,1.07,-0.01,1,0,,,,0.0,0.0,0.9,,,,,
1.15,ACQUIRE,0.01,-0.01,-9.59,1.09,-0.01,1,0,,,,0.0,0.0,1.6,,,,,
1.2,ACQUIRE,0.01,-0.01,-9.59,1.12,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.25,ACQUIRE,0.01,-0.01,-9.59,1.14,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
1.3,ACQUIRE,0.01,-0.01,-9.59,1.17,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.35,ACQUIRE,0.01,-0.01,-9.59,1.19,-0.01,1,0,,,,0.0,0.0,1.6,,,,,
1.4,ACQUIRE,0.01,-0.01,-9.59,1.22,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.45,ACQUIRE,0.01,-0.01,-9.58,1.24,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
1.5,ACQUIRE,0.01,-0.01,-9.58,1.27,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.55,ACQUIRE,0.01,-0.01,-9.57,1.29,-0.01,1,0,,,,0.0,0.0,1.3,,,,,
1.6,ACQUIRE,0.01,-0.01,-9.57,1.32,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
1.65,ACQUIRE,0.01,-0.01,-9.57,1.34,-0.01,1,0,,,,0.0,0.0,1.2,,,,,
1.7,ACQUIRE,0.01,-0.01,-9.57,1.37,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.75,ACQUIRE,0.01,-0.01,-9.56,1.39,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
1.8,ACQUIRE,0.01,-0.01,-9.56,1.42,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.85,ACQUIRE,0.01,-0.01,-9.55,1.44,-0.01,1,0,,,,0.0,0.0,1.4,,,,,
1.9,ACQUIRE,0.01,-0.01,-9.55,1.47,-0.01,1,0,,,,0.0,0.0,0.8,,,,,
1.95,ACQUIRE,0.01,-0.01,-9.55,1.49,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
2.0,ACQUIRE,0.01,-0.01,-9.55,1.52,-0.01,1,0,,,,0.0,0.0,0.9,,,,,
2.05,ACQUIRE,0.01,-0.01,-9.54,1.54,-0.01,1,0,,,,0.0,0.0,1.5,,,,,
2.1,ACQUIRE,0.01,-0.01,-9.54,1.57,-0.01,1,0,,,,0.0,0.0,0.6,,,,,
